	Bayesian Skyline: ref_25_merA_POK_combined.log			
Time	Mean	Median	Upper	Lower
1402.0284386917792	53773.93764485625	20838.182931213818	277663.3308670634	1933.6513877473728
1376.4879569706034	51115.17958950635	20010.179652241197	261622.19982926827	1964.5750858871254
1350.9474752494275	48720.62987676	19359.212795759995	248537.52994107967	2006.3888553547833
1325.4069935282516	46458.901222070686	18875.862529609076	237252.45873346282	2036.3840933234305
1299.8665118070758	44473.235337052094	18465.853477201937	226734.48767074	2087.826049124564
1274.3260300859	42938.13564432488	18272.814555857352	217432.60597922633	2111.079156747146
1248.785548364724	41485.66042721075	18172.42731544962	210319.11105152266	2183.6049678906643
1223.2450666435482	40293.997383605645	18109.567427285052	202706.1768955964	2218.4197422724474
1197.7045849223723	39240.45892926262	18106.323512462735	196448.98467548357	2267.513858200128
1172.1641032011964	38312.48179471567	18111.044335163104	191171.28116474728	2316.4807922454293
1146.6236214800206	37491.59824593487	18202.880566845517	184708.49149105488	2421.9649084152516
1121.0831397588447	36514.26527897702	18310.02381425705	177965.96571795066	2515.707232653519
1095.5426580376688	35730.46192877346	18462.695191662784	172164.67492100297	2567.2781982879333
1070.002176316493	35253.131762273995	18641.16499519993	167676.57724318432	2628.050951966644
1044.461694595317	34684.32996922906	18750.812711526476	163284.54792066803	2656.419521117289
1018.9212128741412	34083.99359817701	18927.64232144359	158936.24148688384	2732.1215442202674
993.3807311529654	33710.84015462584	19101.14511161856	155192.8503067775	2801.3056467161723
967.8402494317895	33332.767395320785	19276.41319810682	151064.29576328627	2868.0072611669166
942.2997677106137	33044.9542673952	19432.773774539768	147697.9217768225	2923.86482094654
916.7592859894378	32834.37000875055	19607.97244955065	143606.04114861207	2967.960861059748
891.2188042682619	32589.68789784603	19777.109519151185	139984.57583122325	3042.9552039772466
865.678322547086	32352.505512933112	19972.636155322372	136292.381631888	3096.0119987465346
840.1378408259102	32258.54064704184	20145.105351768732	133303.2937205603	3141.7602151155547
814.5973591047343	32032.951775407888	20310.619809628657	130198.35915620696	3172.339558977216
789.0568773835585	31927.16659455007	20480.407310359133	128088.9349949513	3226.3371783764355
763.5163956623826	31800.70226847281	20636.888235896888	125498.05624404448	3271.892521048665
737.9759139412067	31683.136009320147	20788.75850559494	122955.3118808506	3293.1423324455695
712.4354322200309	31648.579220541742	20945.172701860127	121326.94513978813	3325.4044312602127
686.894950498855	31607.404316187734	21064.746070723362	118848.00426533981	3357.717162860265
661.3544687776791	31572.588794882915	21209.889621496408	116545.74562446013	3391.2385321367747
635.8139870565033	31478.469188550167	21322.39235849703	115206.13298850055	3406.1811780009075
610.2735053353274	31416.992980523053	21435.836250546872	113386.60939093084	3447.3417803177185
584.7330236141515	31438.822350371967	21562.71899883246	112384.15444475086	3446.0021448696707
559.1925418929757	31373.332391040465	21664.209802642526	111870.29002725711	3450.569251958931
533.6520601717998	31375.50128450454	21761.621127596314	111088.30216349299	3462.142024683588
508.1115784506239	31338.130901892553	21829.99483839884	110651.68829326952	3462.4148420646598
482.57109672944796	31282.277779673215	21905.642241830064	109840.86793589819	3462.142024683588
457.03061500827204	31239.417634855123	21965.106816636755	109354.26169255035	3466.070084614283
431.4901332870961	31233.06481773523	22043.639157626025	109089.01092673106	3440.2098140723965
405.9496515659202	31206.121128729927	22092.127675657764	108760.06437639325	3403.3573816383546
380.40916984474427	31210.61390426411	22141.388235739123	108512.31596989527	3388.2886959094617
354.86868812356835	31185.732925212542	22175.654130982675	108189.07159521121	3377.530951840182
329.3282064023924	31186.20923461633	22235.734071651903	108169.81133572885	3339.6778228292264
303.7877246812165	31135.546929728505	22268.23815594921	107747.12075899522	3319.3890142015366
278.2472429600406	31156.20763850956	22294.953919642692	107768.62541752934	3294.5718338506654
252.7067612388647	31111.958337975502	22293.916373448355	107473.36065833028	3266.79090660193
227.1662795176888	31111.474045433795	22317.80237012502	107092.65140941498	3248.0490633626255
201.6257977965129	31115.01531129569	22318.227523197787	107044.96700860582	3239.259984655314
176.085316075337	31046.947896679376	22307.734279783344	107035.9051765865	3201.724897348855
150.5448343541611	31021.250429874457	22294.52879279185	107235.56454102063	3157.8053883730768
125.00435263298522	31000.08840302103	22269.309801449755	107138.59304684434	3110.7529915984796
99.46387091180932	30973.752769494433	22243.21329314161	107028.53578843518	3063.8113340629284
73.92338919063343	30968.625466126516	22239.07252076323	107081.09503521399	3015.6088636485742
48.38290746945753	30945.108629064685	22196.64492643271	107299.636452619	2960.2672209470975
