	Bayesian Skyline: ref_25_rpoB_AQT_combined.log			
Time	Mean	Median	Upper	Lower
-1735.998845255899	1397977.9107872143	1215090.7505628637	3861021.30207691	183344.5486321497
-1834.5777622363173	1385704.7744739023	1202188.4494567313	3869509.3431179887	178257.49073666058
-1933.1566792167357	1370156.0581340222	1186409.7790756354	3870282.781829724	172562.16372109813
-2031.735596197154	1354951.0429543979	1169294.1564708916	3868751.652985582	166756.4829003029
-2130.3145131775723	1339494.7434772456	1150160.139871041	3883921.089117873	162243.93767428753
-2228.8934301579907	1322751.3680989332	1129608.2043971627	3877179.1875735465	158687.53194581388
-2327.472347138409	1304920.6187012326	1106869.8930796804	3873729.6957314517	154344.38419760703
-2426.0512641188275	1287166.2598325962	1081651.369750528	3872283.5861379923	150311.3629163541
-2524.630181099246	1269127.4096993557	1053955.0490682211	3864141.373671802	146755.23402277785
-2623.2090980796643	1251053.2682232456	1025527.5982341507	3860767.570174593	143880.9892461251
-2721.7880150600827	1233613.0683445737	996380.2119920732	3861105.018353619	140275.44779217555
-2820.366932040501	1215013.9825956388	964059.6122802508	3849802.0036159554	135528.20735349573
-2918.9458490209195	1195791.6700968079	929952.2344776968	3846501.806321276	131807.008028442
-3017.524766001338	1177367.68259351	894467.1596055235	3839088.767368879	128665.14804062567
-3116.1036829817563	1159400.2693996537	858210.4779828024	3825291.755980197	124625.04008804771
-3214.6825999621747	1140570.7971856452	822126.2218957801	3824362.0459314086	120730.186355579
-3313.261516942593	1122413.0564908092	788523.29504452	3818219.9893666115	117411.09583758254
-3411.8404339230115	1103780.5231158931	755590.7889855816	3806530.2067582677	113107.61898802304
-3510.41935090343	1085383.680930748	724675.3065659845	3786667.0276106214	108287.2685612363
-3608.9982678838483	1067569.2494518394	695678.4522501944	3776516.4556083432	104011.21400762751
-3707.5771848642667	1050367.034199327	671129.334727866	3761020.5245754877	98578.41926982562
-3806.156101844685	1033050.0634007752	648827.6326837869	3745023.094162688	95267.34544452537
-3904.7350188251035	1015526.0453849151	627892.9299179595	3734724.4971155417	89964.73567110591
-4003.313935805522	997485.5855672625	610215.9183646562	3715366.533047846	85592.91597960485
-4101.89285278594	980476.7568901944	593698.0197202315	3685262.2846835586	79899.1503542238
-4200.471769766358	963901.1663220808	578248.7666675845	3668933.1646010824	75467.4477159117
-4299.050686746777	947297.5726548213	565428.1711947614	3643865.3172419653	71243.31284435707
-4397.629603727195	931422.0453364609	553737.2841084898	3630950.868860076	67229.90301814624
