	Bayesian Skyline: ref_25_rpoB_PUL_combined.log			
Time	Mean	Median	Upper	Lower
149.49944854726027	316213.9143913676	208335.89257754918	1185815.2429327234	14376.58078467158
124.95338865972428	313759.5438280719	203026.1554501811	1185019.2985097016	14058.935143149765
100.4073287721883	311565.5938398837	198765.26871484186	1185251.1789239415	13745.791255115182
75.8612688846523	309163.71812923823	194282.72398735717	1185172.4528273738	13463.742627372398
51.315208997116315	307189.5365115051	190031.8679089895	1185251.1789239415	13273.66914849969
26.769149109580326	304809.12860787404	185759.71283434384	1184043.2865844571	13096.763969164009
2.2230892220443366	302401.9681048977	181465.5224697104	1181902.497696238	12815.132008661705
-22.322970665491653	299939.9169499829	177032.4916877006	1182657.6923799808	12477.78544030143
-46.86903055302764	297553.3573230149	173043.85941611673	1181752.4367072082	12284.80351605558
-71.41509044056363	295384.7974298028	169507.14921690748	1180824.5494802378	12000.419253568687
-95.96115032809962	293128.64533433365	165727.91567040837	1179210.9501766176	11741.800102152449
-120.50721021563561	290864.50582843955	162312.87944544922	1178746.4020397123	11449.941156285942
-145.0532701031716	288470.669784659	158660.4634836263	1179210.9501766176	11246.763142206291
-169.5993299907076	286072.1633796228	155468.29157713684	1178322.0876896144	10974.00125718803
-194.14538987824358	283791.4190365188	152718.84634566962	1177705.2939965215	10648.877442150886
-218.69144976577957	281665.42895318865	149755.5939427376	1176497.5489302138	10349.27391828764
-243.23750965331556	279262.1234828894	146863.6288950939	1173308.9639464319	10076.14062403672
-267.78356954085154	276838.064476116	144132.1655559166	1170951.4681173456	9877.141078513476
-292.32962942838753	274738.9667876873	141992.7599234458	1170951.4681173456	9673.595024123562
-316.8756893159235	272614.38568586984	139810.8097247809	1169868.7767710509	9492.520895792488
-341.4217492034595	270570.5193940395	137544.76703153606	1166483.9867992387	9273.815650011786
-365.9678090909955	268480.52233170177	135316.00608037272	1166797.9227366615	8994.719996680542
-390.5138689785315	266268.89860037353	133407.97915877667	1164407.0134942294	8785.840118781953
-415.0599288660675	NaN	NaN	NaN	NaN
