	Bayesian Skyline: ref_25_merA_PAI_combined.log			
Time	Mean	Median	Upper	Lower
1796.2392351550607	4006.401396041432	2979.5029128832216	12758.527682759213	731.3136210412097
1788.4977792677414	4048.009398212496	3022.440663724276	12837.953253352107	737.721729877803
1780.7563233804221	4078.016965484406	3064.6537849324804	12942.786431500997	743.524630697055
1773.0148674931029	4104.438211260345	3098.1487056287474	13005.681852223264	747.9268597892595
1765.2734116057836	4135.453737179708	3132.880964218814	13091.480605906705	751.8717061954596
1757.5319557184644	4168.976021495626	3163.089013643725	13178.232219450025	756.6774584077256
1749.790499831145	4193.253803797212	3187.750766510112	13222.395497583459	758.7591308878946
1742.0490439438258	4213.385041405896	3210.8799141995805	13306.65655652185	759.0860900651027
1734.3075880565066	4236.045839521521	3229.5627057798843	13365.617736695867	756.5986461344875
1726.5661321691873	4260.603193535918	3248.675450103635	13462.290460015925	758.047924785579
1718.824676281868	4285.08897146785	3265.492578011453	13549.962333856536	754.1460878383422
1711.0832203945488	4306.194628796712	3281.233693252252	13631.205824970879	749.1330925219912
1703.3417645072295	4323.965474041134	3295.7188393689157	13757.442162904515	747.9905987767808
1695.6003086199103	4340.924754821768	3311.643278064573	13809.848534852554	743.9051155889908
1687.858852732591	4357.091725565659	3321.501185390663	13894.112284337196	740.8705822091528
1680.1173968452717	4370.643608781335	3331.0195673718954	13930.715332925365	735.0312327505518
1672.3759409579525	4385.665345152635	3341.457778684703	13958.701099099853	729.2589881153466
1664.6344850706332	4401.897838354407	3350.0008234423644	14063.57032553357	724.1793349845283
1656.893029183314	4406.6309069655135	3357.479285698405	14136.90551114159	721.5288088350936
1649.1515732959947	4418.766469270919	3366.189002372883	14254.130661457679	716.7429827168135
1641.4101174086754	4430.748556788204	3373.1350559467055	14344.00561165383	710.2771543823873
1633.6686615213562	4437.726995858576	3376.783453219441	14395.018904120532	705.4800297671126
1625.927205634037	4444.895652118642	3382.0672854971417	14447.871617042647	701.2677230778542
1618.1857497467176	4450.192000581785	3384.5693284071444	14467.486158232805	695.5623072869412
1610.4442938593984	4452.130540930194	3384.1415250882005	14489.267019054034	687.5128210064065
1602.7028379720791	4452.949167855189	3382.7533285615873	14532.115443561785	680.8344811634013
1594.9613820847599	4454.316902110582	3381.2848270082827	14589.439318973667	675.3808100166606
1587.2199261974406	4456.189428804522	3380.190154656639	14583.278090451327	669.8233755192133
1579.4784703101213	4460.548882934227	3376.8219975499937	14635.96532020818	663.7703092710258
1571.737014422802	4464.455116012982	3373.603162147841	14686.497272616636	659.1504594143095
1563.9955585354828	4464.044602200395	3372.3252955927082	14722.375610484882	650.2270166963177
1556.2541026481636	4463.520338274379	3368.7997887530255	14780.740868358725	645.0867317006762
1548.5126467608443	4469.753413095343	3367.6565260784137	14820.378720543264	640.3882101465425
1540.771190873525	4466.4249254876295	3357.810091272509	14861.44715085981	629.6683619468513
1533.0297349862058	4465.394292483431	3351.842161981355	14886.565950139633	622.2864622581459
1525.2882790988865	4468.519118095479	3347.2743905479374	14925.018655621156	612.7849287992141
1517.5468232115672	4466.969655030852	3340.765446581051	14976.963209590838	607.3855908157911
1509.805367324248	4467.619342981867	3334.174261342248	15042.22922839444	602.0465335451294
1502.0639114369287	4464.164257241096	3324.8405506612144	15070.929492875252	596.4383103847379
1494.3224555496095	4460.517684885606	3318.755050863962	15061.248299137193	588.3442171152374
1486.5809996622902	4460.52452426828	3309.988410547409	15094.17676258709	584.0405018365491
1478.839543774971	4459.247143795557	3300.1961565300635	15135.934685020218	579.8569783360564
1471.0980878876517	4456.941829851899	3289.870141673736	15178.172876219294	573.169481010443
1463.3566320003324	4451.993728528642	3281.9521377592623	15183.864344218653	567.2442532215423
1455.6151761130131	4449.245651816104	3276.1724014187016	15217.734880575299	561.6476949107486
1447.873720225694	4447.614973810089	3266.066944459656	15259.634602043328	555.8844596993292
1440.1322643383746	4442.949634715693	3255.121004787726	15286.316934435225	548.8036101527692
1432.3908084510554	4442.019203574374	3245.157690297232	15349.904157541934	541.8250014361648
1424.649352563736	4440.432141200511	3236.702835294937	15421.914521816789	535.1314280852614
1416.9078966764168	4436.931262128698	3226.3216693883132	15457.139206959508	528.0286607475438
1409.1664407890976	4431.538247455724	3217.7799122813544	15500.586935763875	522.507283031234
1401.4249849017783	4425.776573473858	3206.7166824956253	15526.39966173292	516.989704710534
1393.683529014459	4420.160357760178	3197.854188244469	15586.879761417616	509.65259599386764
1385.9420731271398	4412.927219688194	3185.2452712148956	15629.105236553301	503.8946515119593
1378.2006172398205	4406.672174767585	3174.457330213355	15672.103472825622	497.02046918220884
1370.4591613525013	4401.603139905335	3163.728354636983	15716.624239372628	490.70133908254996
1362.717705465182	4393.069739980958	3149.0465766639322	15738.579237033637	485.4873006805261
1354.9762495778627	4387.692865921318	3136.4417978965307	15793.946711109204	480.07391559611307
1347.2347936905435	4378.14788696782	3123.803458777477	15780.801618613672	474.3878122940578
1339.4933378032242	4371.2219364708835	3110.6135067416103	15822.82901063617	467.6860621197209
1331.751881915905	4360.3202932138765	3099.571562386817	15823.103996387608	461.4464067739763
1324.0104260285857	4351.536124643468	3085.9043558294115	15810.31966688879	457.00568449916375
1316.2689701412664	4343.014739110235	3073.814131878976	15841.833956149207	451.0267790276665
1308.5275142539472	4336.959115777535	3062.62549670137	15843.869564813605	444.82377562730755
1300.786058366628	4327.500489876391	3049.3154490389174	15866.126580120696	440.3400419128951
