	Bayesian Skyline: ref_25_rpoB_LAH_combined.log			
Time	Mean	Median	Upper	Lower
1278.8819480238121	35066.45906500737	16485.446512132858	193572.49523721568	1397.759654016913
1268.228063212563	34256.669172940776	16082.876042518776	191036.8360688544	1327.6594625294724
1257.574178401314	33423.14063848018	15699.535052828607	188368.18530333455	1260.0773371087287
1246.9202935900648	32656.71730780668	15301.532530146027	185791.91940176804	1197.7563649173617
1236.2664087788157	31911.853570295036	14902.988078835064	182911.84480708913	1147.8603630966156
1225.6125239675666	31160.212435945017	14515.591619908106	179901.69691489477	1102.5762530484676
1214.9586391563175	30417.106118553158	14171.167069198875	176701.75173641712	1060.862953213799
1204.3047543450684	29775.992642339763	13807.661294906213	175057.893412092	1021.6614272102884
1193.6508695338193	29089.733497216355	13465.88867081766	172946.47761293064	987.152696449798
1182.9969847225702	28471.719399207606	13113.175409432159	170255.5208880833	949.5834570912856
1172.3430999113211	27861.374743469914	12766.895921296758	167235.74029417813	914.500936263001
1161.689215100072	27243.452872779213	12411.270353437661	164094.7985240786	881.5382237924462
1151.035330288823	26667.028395051755	12081.797422675963	161367.49355108096	849.6701287061927
1140.3814454775738	26074.38452160874	11741.839144984473	158191.74253053556	820.3995862182367
1129.7275606663247	25511.20133710729	11405.81591064251	155871.35032729447	797.2921101304494
1119.0736758550756	24953.297013577438	11094.493860006893	152755.055685067	770.0200929372076
1108.4197910438265	24377.509515133814	10762.424609829222	149710.19129079356	744.0102720214936
1097.7659062325774	23835.376883162677	10433.133109953986	147064.86007635642	722.614044889014
1087.1120214213283	23326.985328542134	10132.034306577887	144299.0409322655	697.1583046907974
1076.4581366100792	22805.84522436894	9834.381963924492	140826.95542496524	676.4646192539549
1065.8042517988301	22328.13143596575	9511.072117853111	138423.13585207012	653.408946095007
1055.150366987581	21863.357911747036	9203.84494865626	135781.66954843234	632.738245961879
1044.496482176332	21406.96512083211	8892.020040315248	132663.58520762267	611.4441377307775
1033.8425973650828	20951.13378903364	8590.133798751727	129434.89773302134	588.4227948876647
1023.1887125538336	20501.844283845236	8314.348707014487	126596.44498758343	570.5273416914705
1012.5348277425844	20086.3060639499	8034.583480158649	123265.96523931995	552.4435254552081
