	Bayesian Skyline: ref_25_rpoB_POK_combined.log			
Time	Mean	Median	Upper	Lower
-5798.032849392973	821366.8647437966	584943.5606154623	2808796.3637377396	77634.94069858485
-5926.115355120726	810169.0286946807	571270.1902993993	2798369.6431648764	74602.72747198214
-6054.19786084848	798438.4511731834	558921.6989668418	2779171.6586697144	70675.24030557796
-6182.280366576233	787368.0274214692	545133.7049969878	2768408.4686351726	67221.3513259603
-6310.3628723039865	776031.2428743285	531823.5242276937	2757459.741200348	63467.02267114948
-6438.44537803174	765241.1517354358	520054.51555858704	2751253.233773637	60916.15524613427
-6566.527883759493	753507.5921121778	505871.08989356254	2731960.3224974927	57888.3795586781
-6694.610389487247	742886.2291280538	494080.4725728923	2715074.627116777	54886.349319447625
-6822.692895215	732849.1173692368	482970.49969514995	2700039.638661267	51978.462237966225
-6950.775400942754	722614.9331699001	471058.20503516454	2692217.5431552874	49076.290463536956
-7078.857906670507	712057.2016368266	460494.40223895217	2679367.9448254784	46527.53925247606
-7206.94041239826	702226.5902085064	448636.4513498331	2673211.1213527787	43841.18513067505
-7335.022918126014	692120.5108255985	438585.9699380823	2659758.8345944933	40458.157021118175
-7463.105423853767	682197.0170109129	427553.78781183995	2644775.3391194586	38721.95772504235
-7591.187929581521	672443.9103733416	417191.65830079385	2630392.509986833	36542.18448841408
-7719.270435309274	662858.3148307597	406583.9677776857	2618777.5091325683	34350.256665920184
-7847.352941037027	654154.2258808541	397567.6571669407	2610879.5981659596	31981.441429597715
-7975.435446764781	644750.4770235391	388204.7236512946	2598412.4012784273	29473.65119788394
-8103.517952492534	635302.4625338746	378145.3915637509	2581625.188384916	27479.156594856046
-8231.600458220288	625228.0614478458	369203.2834918926	2565993.3630436175	25100.379488544702
-8359.682963948042	615375.9234632457	360616.57649132673	2547226.048788034	23097.39018111332
-8487.765469675796	607056.8983309873	353527.22135550086	2543182.8421102543	21408.243944664606
-8615.84797540355	598087.0287908354	345366.05027383904	2523819.0704841935	19677.95782985415
-8743.930481131305	588822.3983296655	337403.27481156535	2499623.127668468	17866.331878115183
-8872.01298685906	581098.46461933	329959.7148977033	2483940.8910128316	15790.329951895532
-9000.095492586814	572079.086019093	321668.0100532898	2469051.9371260777	13909.697458563242
-9128.177998314568	564308.2029722306	315155.599181278	2455808.3677729527	12446.026366403388
