	Bayesian Skyline: ref_25_merA_LAH_combined.log			
Time	Mean	Median	Upper	Lower
1693.717993953244	209391.43115001265	29530.842558182456	1763080.8297024427	797.5803590952177
1686.9034831862919	204609.97487474245	28626.86864418953	1723172.504075501	788.8709350869951
1680.0889724193396	198394.22951827172	27798.526848115067	1675750.8359085356	748.31351977439
1673.2744616523873	194488.66578794978	27122.327762448054	1644507.5413976642	715.8961393484826
1666.459950885435	190300.56282668773	26390.68546743451	1617960.0156384835	699.1457004481881
1659.6454401184828	185952.69860863173	25812.23079446208	1571794.0149776815	683.8880353055246
1652.8309293515306	181112.56843035296	25117.990964087177	1555810.6306042355	673.3941195330776
1646.0164185845783	177490.88701238585	24555.173456972123	1535006.1769883463	659.0929539395987
1639.201907817626	173204.85926649612	23969.144109592078	1503836.790643756	644.390882166618
1632.3873970506738	169393.8121785953	23289.75356401014	1458930.986833656	627.7148313757165
1625.5728862837216	165128.1910871879	22718.49388278372	1408057.4872700411	628.5773405050428
1618.7583755167693	159389.7865455339	22060.736500417002	1347529.9650799418	614.7042779779629
1611.943864749817	155737.964410393	21708.992032772436	1318868.9680233004	605.9933169382634
1605.1293539828648	151540.5613318979	21277.788276841966	1280432.5958839955	598.8507458928925
1598.3148432159126	148087.69298633546	20702.147271374604	1247314.4495830492	592.2080198315797
1591.5003324489603	144727.77464528946	20320.926648904362	1200252.6749019327	581.102278544595
1584.685821682008	140575.81372914324	19859.21401131067	1151623.5056217636	572.8080466961521
1577.8713109150558	137765.65255599888	19575.623715423688	1121953.8272470988	566.9036262305816
1571.0568001481035	135409.10613633553	19215.536981115198	1101251.8511677664	558.1467321525479
1564.2422893811513	131620.88365358562	18857.920069232183	1067357.3054772643	547.4785944696137
1557.427778614199	127309.82097364597	18615.09186964374	1002638.4760199096	540.2131418723959
1550.6132678472468	125567.10434058393	18353.546229562093	986593.8422246063	540.2131418723959
1543.7987570802945	123498.87916968539	18008.40519282153	962028.9737615761	530.0356365794645
1536.9842463133423	122138.84587734792	17782.02787528715	940226.5127098477	529.4133800613957
1530.16973554639	120093.35549140564	17521.53033450695	924630.0988355823	525.0228615257081
1523.3552247794378	117645.48531836868	17273.218898027975	877410.3650949235	518.3879938796995
1516.5407140124855	115311.15816189298	17016.27185547353	830527.7883211741	516.3055976096906
1509.7262032455333	112792.80764889537	16781.009433340314	792017.2067190257	506.9730376465745
1502.911692478581	110262.49032232566	16556.167937933096	755288.1036716024	501.82994093916096
1496.0971817116288	107178.81780999452	16208.685618572727	701813.3935151855	493.25831927630287
1489.2826709446765	105034.40485151665	16033.63520436678	687914.5695480778	493.25831927630287
1482.4681601777243	103615.97523965056	15831.993250868378	655178.0805406226	487.14453626194023
1475.653649410772	101804.98733950488	15780.590463052678	638618.182967155	480.7220960561141
1468.8391386438198	99479.94497915186	15609.51793050714	601267.0585666088	476.99673090196893
1462.0246278768675	98419.87795035445	15476.06360114408	592135.6377598967	470.2529988130689
1455.2101171099152	95634.0591950814	15227.398208238907	567956.3904331842	463.6809594363748
1448.395606342963	93097.01859530853	15084.061638405197	539089.95272569	457.1968872645309
1441.5810955760107	91776.9042319203	14921.624820540539	528908.6233657788	454.31044080276575
1434.7665848090585	90330.23102241762	14689.21829818627	515537.8974831274	447.5561950930428
1427.9520740421062	89328.92435804766	14503.222629639693	496227.4925928322	439.3258228993478
1421.137563275154	86451.17398587649	14352.68302368563	475871.371944387	437.90804429533995
1414.3230525082017	85314.94269467544	14251.561448064776	464953.6638586587	429.54868148764734
1407.5085417412495	84033.07630867914	14101.653112242844	450614.55110915017	424.9128469416099
1400.6940309742972	82561.3475945044	13915.488141150498	432522.5760526449	421.52136077564654
1393.879520207345	81876.6923521448	13789.874839141183	421025.1705824418	410.9211194205376
1387.0650094403927	81116.71810069757	13593.955872695848	416360.83057563234	402.8203065086061
1380.2504986734405	79816.47224207857	13463.619561615678	407553.2961860628	402.8203065086061
1373.4359879064882	77960.4235433325	13328.322305170444	406228.21837241837	398.1797984610703
1366.621477139536	76808.31682282583	13177.40009485338	389974.2759973794	393.3059322274298
1359.8069663725837	75777.40088393919	13084.349875756945	378901.0732637495	392.00548371601747
1352.9924556056314	75084.15159327026	13000.602847028375	370633.6381075511	387.8876840649697
1346.1779448386792	74567.26784640743	12834.04349081246	367921.6461426792	379.129456269317
1339.363434071727	73135.80686420262	12704.855183843345	360645.8829442009	376.6097921065582
