	Bayesian Skyline: ref_25_rpoB_KEV_combined.log			
Time	Mean	Median	Upper	Lower
-67.14125324738964	685330.1212300437	572715.1357243861	1893483.0341543532	148476.05081190044
-132.17691741137054	686254.0106010108	573773.4333695577	1902028.70197176	141075.63889283943
-197.21258157535144	686522.6370935217	573918.7945619298	1907210.4509525206	133311.3444694118
-262.24824573933233	686792.2146547211	574058.7860394774	1916415.6892646642	125314.77617428509
-327.2839099033132	686600.2814855145	574239.6684042825	1925699.1421016473	117732.38332968968
-392.31957406729407	686346.8561830395	574277.0744764417	1934395.8108082854	112468.59902531734
-457.35523823127494	685718.638118839	574069.5822466774	1940877.9183374434	107067.17602950275
-522.3909023952558	684425.3983809382	573097.2614885139	1947674.2637478495	102193.64475103382
-587.4265665592367	682824.34991934	571637.2016282885	1954350.3936387384	97655.90381200743
-652.4622307232175	680630.5915910741	569585.7683123922	1958850.1180661044	93595.11482816443
-717.4978948871984	678551.4514747271	567153.9219927411	1968992.4385999201	90441.27633328049
-782.5335590511793	676462.4313613597	565243.7343865657	1973446.8098308041	87622.69519558181
-847.5692232151602	673630.2958854567	562643.9744221994	1976480.3481147217	84675.77795297603
-912.604887379141	670779.8222228246	559595.3301652883	1979737.8621051977	81932.86292191975
-977.6405515431219	668381.2770658047	556679.5592821258	1988703.0228629878	79924.24284238681
-1042.6762157071028	665511.6425014875	552870.1266286052	1993874.530087018	77686.0541963339
-1107.7118798710837	662121.5108060465	548691.8445694589	1999011.3669409105	75076.62253265073
-1172.7475440350647	658304.0013022762	543920.8173091921	2000722.2724136917	73099.74663921277
-1237.7832081990457	654522.6032995067	539251.8550567697	2003970.1740033082	70789.18605927976
-1302.8188723630267	650886.5689743565	533692.7503115465	2009815.7934098844	68845.71112816832
-1367.8545365270077	646969.997233829	528583.393305523	2012075.1518775632	66789.87728256
-1432.8902006909886	642527.5586017645	522595.2443509739	2011356.5857488287	64694.803677509735
-1497.9258648549696	637994.9770505524	515745.3983475578	2013585.66871228	62392.95218508349
-1562.9615290189506	633570.9144875607	508875.7915450462	2014821.6037961838	59909.52426366925
-1627.9971931829316	628615.3757865381	501576.49883959437	2015375.9684332153	57927.14412046897
-1693.0328573469126	623963.3417326404	493646.41269529116	2017912.9165111373	56077.80795349537
-1758.0685215108936	619322.2635894823	486110.604367498	2018781.9165498305	54109.23171354048
-1823.1041856748745	614948.1670380541	478270.87227156165	2026253.0320351198	52118.842769836934
-1888.1398498388555	610171.2946465123	469801.6837904644	2029386.9994358001	49879.374886707505
-1953.1755140028365	605490.0598172634	460538.11805509654	2032114.004730376	47945.12025007806
-2018.2111781668175	600576.7052821337	451387.4348757942	2037136.4140575791	45941.63021013962
-2083.2468423307982	595389.4350386789	441981.64548383973	2038509.5314277178	43706.67326293868
-2148.282506494779	589822.774480268	432327.3824120185	2034905.3901277701	41927.836118597734
-2213.31817065876	584421.6622586624	422248.9689144994	2036845.1195546237	40075.7502312689
-2278.353834822741	578800.7392552963	411840.0369649364	2037136.4140575791	37794.865943030665
-2343.389498986722	573326.3387907704	401843.09396467754	2036793.9299093455	35875.0415085094
-2408.425163150703	568095.9471818261	391980.14741068723	2036065.7238495934	34238.52619112268
-2473.460827314684	562922.5573223836	382887.42984087864	2034530.9224902636	32271.77721092371
-2538.496491478665	557359.1550568157	372640.84562575293	2035353.912134293	30643.57423238696
-2603.532155642646	551635.2519896242	363314.28386342403	2033881.3604642649	28672.518460564264
-2668.567819806627	546372.2970848151	355112.30362482864	2032528.8208282543	27137.878819302434
-2733.603483970608	541222.3463812056	346304.6404060997	2030506.3240635167	25705.242056644143
-2798.639148134589	535702.7537309044	338493.31605713593	2030967.108750062	24482.371572701573
-2863.67481229857	530593.8967412758	330841.3339583422	2031582.2214591717	23349.326053822544
-2928.710476462551	525369.3216379563	323388.6457690189	2029399.1007346925	22040.875387773543
-2993.746140626532	520096.4049375249	316796.0376322999	2028784.6300385727	20758.419861774615
-3058.781804790513	514644.4387052341	309607.82343919255	2028166.9712256847	19775.162178494884
-3123.817468954494	509526.3299263598	303017.2075645367	2025997.620679538	18694.22327394232
-3188.853133118475	504695.1084816093	297435.0734665911	2025316.4770535321	17722.562048860356
-3253.888797282456	499654.50610237604	292100.8278837367	2023656.3226889805	16861.36898325168
