	Bayesian Skyline: ref_25_merA_AQT_combined.log			
Time	Mean	Median	Upper	Lower
1758.4755681056322	15597.941842351916	7066.285861844484	67281.9118775939	1411.2063045114742
1752.187457308273	15682.757393084024	7224.492789316184	67942.29502740104	1247.540006577858
1745.8993465109138	15540.822773638292	7078.298928847949	68232.53255006987	942.5130089949474
1739.6112357135546	15250.784400454202	6764.287189220299	68083.78816944982	818.6578875442306
1733.3231249161954	14939.97361810336	6397.762569429422	67715.5931155244	758.6739777988486
1727.0350141188362	14619.07805885005	6061.760231699395	67276.13816833512	719.3921551281131
1720.746903321477	14306.074526910359	5788.2904782736	66205.22881758095	701.3354089561551
1714.4587925241178	14035.909061764272	5566.466504207443	65662.3450094567	678.0760392669746
1708.1706817267586	13783.343473265673	5411.166930986565	64843.36742417143	650.8376728067533
1701.8825709293994	13566.793920612878	5297.112076224153	63918.725166185264	614.6984875639974
1695.5944601320402	13312.976826746488	5195.415895066182	62848.910939239504	589.060071612349
1689.306349334681	13105.939820186872	5112.69577730441	62167.82991752072	556.4438306277478
1683.0182385373218	12892.965082086868	5045.823371300697	60895.15992214109	534.5792279832418
1676.7301277399627	12678.414822215758	4975.348151715274	59487.07081643927	504.8287296952557
1670.4420169426035	12495.637537049803	4938.291637111162	57863.018132916244	478.9599243564994
1664.1539061452443	12352.81477733693	4875.77419942208	56977.69092512314	453.76326977123415
1657.865795347885	12200.643994640188	4827.393212359936	55774.54384559919	430.332679410279
1651.5776845505259	12050.841612227958	4770.715409862383	54729.138218794855	411.7026628677455
1645.2895737531667	11886.841784304097	4715.6272533033025	53928.14652720732	391.31466357155483
1639.0014629558075	11724.70392391646	4664.9297679152405	52767.503796707	371.9968940230714
1632.7133521584483	11563.242408422342	4612.691563290146	52258.854808023476	356.43001832602346
1626.425241361089	11442.407197110177	4559.58388905889	51938.861930362385	343.87371829518065
1620.13713056373	11323.94443144465	4505.1404763367955	51326.46075726416	329.67137448073765
1613.8490197663707	11215.31243716136	4452.634049248966	50625.896225458666	319.28562896402303
1607.5609089690115	11085.796266527603	4394.776705192998	49767.80935198225	304.84912913917435
1601.2727981716523	10977.55508096435	4342.936491324092	49501.64550340907	295.4919073716579
1594.9846873742931	10835.742294844018	4280.710726990781	49132.47273173915	289.0450124077464
1588.696576576934	10748.298044702831	4214.142273494727	48587.89936681213	278.9683983063196
1582.4084657795747	10625.740470610786	4136.688682848922	48073.94698567544	271.1642751913718
1576.1203549822155	10527.881376170406	4080.1166963925793	47649.566231926365	263.56039677055105
1569.8322441848563	10396.826287647222	4029.2509172078117	47307.1008240461	257.8172634034833
1563.5441333874971	10242.815719938813	3962.917597690296	46991.2643132851	251.38870459755086
1557.256022590138	10161.457163187177	3898.9116784638804	46654.02330951442	246.93817420802472
1550.9679117927788	10049.929928355252	3826.3593776029193	46231.80727861924	242.60612362478292
1544.6798009954196	9941.945173851052	3760.098018042738	46056.15993469009	237.0120130560801
1538.3916901980604	9863.06089102686	3699.952594859102	45624.57517656773	231.58478481263765
1532.1035794007012	9768.125095871888	3638.386410881469	45214.46455726703	229.01585985617558
1525.815468603342	9676.458740452315	3571.4654622334388	44958.69105226263	224.48280037871623
1519.5273578059828	9562.214230461837	3504.1527157867226	44600.35558486685	222.87525239773342
