	Bayesian Skyline: ref_25_merA_VUO_combined.log			
Time	Mean	Median	Upper	Lower
1359.4301459947317	24823.483190892184	16244.919114898334	96657.44178935255	1184.6180864996709
1349.3598405484968	24830.14100264165	16254.244918485721	97035.72929467977	1168.703388455634
1339.2895351022619	24849.191488797995	16247.681874093547	97365.03782805373	1158.3931055354874
1329.219229656027	24883.442672867437	16247.681874093547	97978.95486562373	1143.7170043762117
1319.148924209792	24900.549675118906	16254.761717703752	98264.87093902998	1129.730538685058
1309.0786187635572	24903.58232605336	16228.251183894545	98446.03867322911	1118.4267355579082
1299.0083133173223	24936.005682364586	16200.433678533438	98714.34936239467	1107.1847462557173
1288.9380078710874	24975.31672257757	16183.614446580117	99165.0982379626	1093.9252178448235
1278.8677024248525	24996.08889266238	16151.556889512898	99802.50915048982	1082.0806359911253
1268.7973969786176	25017.113693112835	16144.259838365777	100124.68237326424	1072.4676667618676
1258.7270915323827	25022.616346298953	16084.024356517812	100481.66325588708	1065.2488785538546
1248.6567860861478	25044.985886358714	16024.411201570036	100761.20211569723	1057.932288197896
1238.586480639913	25031.40677304707	15959.085013308826	101150.55746371573	1052.5320322917619
1228.516175193678	25041.85066840276	15912.446593171795	101458.95763764801	1040.520096200121
1218.445869747443	25061.09904651847	15840.754863446527	101847.99840642494	1026.6094538363384
1208.3755643012082	25030.484210963976	15761.450918872246	102152.84946844971	1011.4187191572038
1198.3052588549733	25032.796947279658	15701.212517873595	102451.67540949136	1001.2495391037245
1188.2349534087384	25031.190172505005	15618.349734093297	102804.57482713381	994.1003531315946
1178.1646479625035	25060.371193830382	15563.667009340821	103160.13237687755	984.9156634293531
1168.0943425162686	25096.32481469349	15505.06858309238	103608.24939830146	978.5815843563952
1158.0240370700337	25098.9710621031	15426.376157585462	103981.45730187708	975.086723720318
1147.9537316237988	25089.183257491735	15347.343648851733	104235.65302323358	970.8701386458429
1137.883426177564	25083.215545806474	15265.865753651255	104498.94963967914	958.922087815103
1127.813120731329	25062.974606560958	15169.84187896576	104903.15342234344	954.4069202230068
1117.7428152850941	25064.19876573773	15077.537131426738	105573.17702418126	942.7413729932664
1107.6725098388592	25063.20743611499	14981.19943713567	106034.62953508954	934.6627472200689
1097.6022043926243	25027.73077292685	14873.925218479864	106288.65075979024	924.6191056189633
1087.5318989463894	24996.647359753162	14780.739776471999	106394.60697620023	917.5035905035826
1077.4615935001545	24998.600164177697	14681.437109587227	106813.91751085031	906.3402867400561
1067.3912880539197	24969.365781585508	14537.026645735525	107080.89303754072	900.3414185967233
1057.3209826076848	24953.903941100092	14427.205546041943	107504.16272284905	889.8848950834275
1047.2506771614499	24964.242380277698	14332.319882215079	108221.4934358056	884.4499307639336
1037.180371715215	24959.756112710562	14239.300907714542	108617.52249251395	877.8729294720667
1027.11006626898	24951.268736875983	14135.319975170007	109063.46733843687	871.0496359121007
1017.0397608227452	NaN	NaN	NaN	NaN
